record,uuid,date,s2,s3,s4,s5r1,s5r2,s5r3,s5r4,s5r5,s5r6,s5r7,s6,s6r22oe,origcat,state,akc,alc,arc,azc,cac,coc,ctc,dec,flc,gac,hic,iac,idc,ilc,inc,ksc,kyc,lac,mac,mec,mdc,mic,mnc,moc,msc,mtc,ncc,ndc,nec,nhc,nmc,nvc,njc,nyc,ohc,okc,orc,pac,ric,scc,sdc,tnc,txc,utc,vac,vtc,wac,wic,wvc,wyc,s9,educat,s10,q1,q2,splitassignment1,pipeq3r1,pipeq3r2,pipeq3none,q3,q3r8oe,pipeq4r3,pipeq4r2,pipeq4none,q4r1,q4r2,q4r3,q4r4,q4r5,q4r6,q4r7,q4r8,q4r9,q5,q6,q7,q8r1,q8r2,q8r3,q8r4,q8r5,q8r6,q8r7,q8r8,q8r9,q8r10,q8r11,q8r12,q9,q10,q11,q12,q13,criminality,q14r1,q14r2,q14r3,q14r4,q14r5,q15,q16,q17r1,q18,q19,q20r1,q20r2,q20r3,q20r4,q20r5,q21,q71,q22,q23,q24,q25,q26,q27,q28,q29r1,q29r2,q29r3,q29r4,q29r5,q29r6,q30r1,q30r2,q30r3,q30r4,q30r5,q30r6,q30r7,q30r8,oaxaca_treatments,q31,q32,q33,q34,q35r1,q35r2,q35r3,q35r4,q35r5,q36,q37,q37r8oe,q38,q38r8oe,q39,q40,q41,q42,q43,q44,q45,q46,q47,q48,q49,q50r1,q50r2,q50r3,q50r4,q50r5,q50r6,q50r7,q50r7oe,q51,q52r1,q52r2,q52r3,q52r4,q52r5,q52r6,q52r7,q52r8,q52r9,q52r10,q52r11,q52r12,q52r13,q52r14,q72,q53a,q53b,q54,q55,q56r1,q56r2,q56r3,q56r4,q56r5,q56r6,q56r7,q56r8,q56r9,q57,q58,q59,q60,q61,q62,q63r1,q63r2,q63r3,q63r4,q63r5,q63r6,q63r7,q64,q65,q66,q67,q68r1,q68r2,q68r3,q68r4,q68r5,q68r6,q68r7,q68r8,q69r1,q69r2,q69r3,q69r4,q69r5,q69r6,q69r7,q69r8,q69r9,q69r10,q69r11,q69r12,q69r13,q69r14,q69r15,q69r16,q69r17,q69r18,q69r19,q69r20,q69r21,q69r22,q69r23,q69r24,q69r25,q69r26,q69r27,q69r28,q69r29,q69r30,q69r31,q69r32,q69r31oe,q70,vlist,qtime,vmobiledevice,vmobileos,start_date,declang,weight
976,7c34pw4es67p1wzy,4/28/25 8:05,3,2,2,0,1,0,0,0,0,0,13,,1,5,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,14,1,1,1,0,0,1,,1,0,0,1,1,2,2,1,2,1,2,2,3,,3,0,0,1,0,1,1,1,0,0,,0,0,1,2,2,1,,1,0,1,0,0,0,1,1,6,1,2,1,0,0,0,0,1,1,1,2,2,,1,2,4,1,1,1,2,2,2,0,0,1,0,0,1,1,0,4,1,2,2,1,0,1,0,0,0,2,4,,,,3,1,1,1,2,4,5,2,1,1,1,0,1,0,1,0,0,0,,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,4,1,0,0,0,1,0,1,0,0,4,2,6,1,1,1,0,0,1,0,0,0,0,1,1,1,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90034,9,1795.17,5,6,4/28/25 7:35,english,0.6850925
1188,u59316avp4ear692,4/29/25 1:22,3,1,2,1,1,0,0,0,0,0,13,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,7,3,1,16,1,1,1,0,0,1,,1,0,0,1,2,1,2,1,2,2,2,1,4,,2,0,0,1,1,1,1,0,0,1,,0,0,1,1,2,1,,1,1,0,0,0,0,1,1,6,1,1,0,0,0,0,1,3,1,2,1,1,,2,3,4,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,2,1,1,0,0,0,0,1,1,,,,2,1,3,1,1,4,5,1,1,2,3,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,0,0,0,0,0,1,,3,11,1,1,2,1,0,0,0,0,0,0,1,1,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53219,9,2025.74,5,6,4/29/25 0:48,english,0.6968117
1239,33tbb9q4fn92zp2m,4/29/25 11:20,3,2,2,0,1,1,0,0,0,0,8,,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,7,3,1,25,2,1,1,1,0,6,,1,0,0,2,2,2,2,2,1,1,2,2,1,,2,0,0,0,1,1,1,1,1,1,,0,0,1,1,1,1,,1,1,1,0,0,0,2,1,7,1,3,0,0,0,0,1,1,1,1,1,3,,2,4,1,2,2,2,1,2,2,0,1,1,0,0,1,0,0,4,1,5,1,1,0,1,1,1,0,1,2,,,,3,1,2,2,3,4,2,4,4,2,3,,,,,,,,,,1,0,0,1,1,0,1,1,0,0,1,1,1,0,3,1,2,1,1,0,0,0,0,1,0,1,1,0,1,3,12,1,1,1,0,0,0,0,1,1,0,1,3,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Black,7050,6,331.51,1,1,4/29/25 11:13,english,0.6396756
1618,52vt9xye6ftp960n,4/29/25 14:43,4,1,2,0,1,0,0,0,0,0,8,,5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,1,1,1,25,2,1,1,0,0,6,,1,0,0,3,2,2,2,3,2,2,2,2,1,,2,0,0,0,0,0,0,0,0,0,,1,0,1,1,1,1,,1,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,1,1,3,4,2,,4,7,1,2,2,1,2,2,1,0,0,0,0,1,1,1,0,3,1,1,3,1,1,0,0,0,0,3,3,,,,1,1,1,1,2,3,1,1,3,1,1,0,1,0,0,0,1,0,,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,0,0,0,0,0,0,0,0,1,,4,13,4,4,4,1,0,0,0,0,0,0,3,4,,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11207,8,465.88,1,2,4/29/25 14:35,spanish,1.239915
1944,z50szzep8ushhm54,4/29/25 17:08,4,2,2,0,1,0,0,0,0,0,13,,1,5,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,28,2,1,1,0,0,6,,1,0,0,2,2,2,2,2,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,,1,5,2,2,1,,1,1,1,0,0,0,2,1,7,1,3,0,0,0,0,1,3,1,1,1,2,,3,6,4,2,2,2,2,2,2,0,0,0,0,0,0,1,0,2,5,5,1,4,0,0,0,0,1,2,4,,,,2,1,3,3,4,3,4,4,4,1,3,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,0,,,0,0,0,0,0,0,0,0,1,,3,4,1,4,4,0,0,0,0,0,1,0,,4,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,93280,1,1606.32,6,6,4/29/25 16:41,spanish,1.108238
2674,zmmqqky89r1mqj22,5/1/25 13:11,6,2,2,1,1,0,0,0,0,0,19,,6,10,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,4,2,1,1,0,0,4,,1,0,0,3,2,2,2,3,3,3,2,2,1,,2,0,0,0,0,0,0,0,0,0,0,,1,4,1,2,1,,1,0,0,1,0,0,4,4,6,2,2,0,0,0,0,1,2,2,3,4,1,,2,6,4,2,2,2,2,2,2,0,0,1,0,1,1,0,0,1,2,2,2,3,0,0,0,0,1,5,1,,,,2,2,2,2,4,3,3,4,1,1,3,,,,,,,,,,0,1,0,1,1,0,1,0,0,1,1,1,1,0,2,2,0,,,0,0,0,0,0,0,0,0,1,,1,2,2,1,4,0,0,0,1,0,0,0,,3,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32771,3,1158.69,1,2,5/1/25 12:52,spanish,1.138246
2735,rum1eqxep2p32tkf,5/1/25 14:32,3,1,2,1,1,0,0,0,0,0,13,,1,6,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,1,23,2,1,1,0,0,1,,1,0,0,2,3,2,2,2,3,3,2,2,3,,4,1,0,0,0,0,0,0,1,0,,0,0,1,1,2,1,,1,1,0,1,0,0,2,2,6,2,2,0,0,0,0,1,1,1,1,1,1,,1,4,4,1,2,2,1,1,2,0,0,0,0,0,1,1,0,3,2,4,2,4,0,0,0,1,0,2,3,,,,4,2,2,3,2,4,5,3,3,2,1,0,1,1,0,1,0,0,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,1,,2,11,1,1,2,1,0,0,0,0,0,0,1,3,,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,81210,2,2006.29,5,6,5/1/25 13:58,english,0.6968117
2754,ne2famvf3cq8ge75,5/1/25 14:39,4,2,2,0,1,0,0,0,0,0,8,,5,10,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2,7,2,1,1,0,0,1,,1,0,0,3,3,2,3,3,1,3,1,1,4,,2,0,0,0,0,0,0,0,0,0,0,,1,5,5,5,1,,1,0,0,0,1,0,3,2,7,3,4,0,0,0,0,1,2,2,2,2,3,,2,1,4,2,2,3,2,2,2,0,1,1,0,1,1,0,0,1,1,1,2,3,0,0,0,0,1,5,3,,,,3,2,2,1,4,5,3,4,1,1,3,,,,,,,,,,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,2,0,,,0,0,0,0,0,0,0,0,1,,2,3,2,4,1,0,0,0,0,0,1,0,,1,2,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33126,2,1519.79,1,2,5/1/25 14:13,spanish,1.034769
2873,2cq2068kyefbzta3,5/1/25 16:15,4,1,2,0,1,0,0,0,0,0,17,,3,5,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,4,1,1,1,0,0,8,Por amenazas de muerte hacia mi persona y extorsión.,1,0,0,3,3,2,3,3,3,1,1,1,4,,4,0,0,0,0,0,0,0,0,0,0,,1,5,5,5,1,,1,1,0,0,0,0,3,1,7,2,3,0,0,0,0,1,1,1,2,2,3,,3,3,4,2,2,2,3,2,2,0,0,0,1,1,0,0,0,1,5,5,1,4,0,0,0,0,1,5,1,,,,1,3,1,1,5,5,5,1,1,2,3,,,,,,,,,,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,,,0,0,0,0,1,0,1,0,0,1,3,2,2,2,4,0,1,0,0,0,0,0,,3,,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Latino,91206,2,2225.12,1,2,5/1/25 15:33,spanish,0.7595006
3134,z538t3pnsv5v7085,5/1/25 18:56,3,1,2,0,1,0,0,0,0,0,13,,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,4,2,3,9,2,1,1,0,0,1,,1,0,0,1,2,2,2,2,1,2,2,2,2,,1,0,0,0,0,0,0,0,1,1,0,,0,5,5,4,1,,1,1,0,0,0,0,2,1,2,2,4,0,0,0,0,1,1,1,1,2,2,,4,5,3,2,2,2,2,2,1,0,1,1,0,1,0,0,0,2,1,3,2,3,1,0,0,0,0,5,3,,,,3,1,1,2,3,4,4,3,4,3,3,,,,,,,,,,1,1,0,1,1,0,1,0,1,1,1,1,1,0,3,1,0,,,1,0,0,0,0,0,1,0,0,1,2,3,3,4,1,1,0,0,0,0,0,0,,2,2,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79902,2,801.73,1,2,5/1/25 18:42,spanish,0.7869872
3306,wveg61bad7by6qfe,5/1/25 19:42,2,2,2,0,1,0,0,0,0,0,7,,4,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,6,3,4,2,2,1,1,0,0,4,,1,0,0,3,2,2,2,2,2,1,2,2,2,,2,0,0,0,0,0,0,0,0,0,0,,1,5,4,2,1,,1,0,0,0,1,0,2,1,7,2,2,0,0,0,0,1,3,3,3,4,2,,3,2,2,1,2,2,2,1,1,0,1,0,0,1,0,0,0,2,2,1,3,2,0,0,0,0,1,3,1,,,,1,1,2,2,4,4,4,1,1,1,3,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,,,0,0,0,0,0,0,0,0,1,,1,7,2,3,4,1,0,0,0,0,0,0,,2,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,77077,2,719.94,1,2,5/1/25 19:28,spanish,0.9933786
3371,saf4ecasrh53jc9u,5/1/25 20:05,4,2,2,0,1,0,0,0,0,0,11,,2,14,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2,1,1,1,0,0,1,,1,0,0,2,2,2,2,2,2,2,2,2,4,,2,0,0,0,0,0,0,0,0,0,0,,1,5,4,1,1,,1,0,0,1,0,0,1,1,6,1,1,0,0,0,0,1,3,4,2,1,1,,2,3,4,2,2,1,2,2,2,0,0,0,0,0,1,0,0,4,5,5,1,2,0,0,0,0,1,5,3,,,,3,1,1,1,1,5,5,4,1,1,3,,,,,,,,,,0,1,1,0,1,0,0,0,0,1,1,0,0,0,3,2,1,2,1,0,0,0,0,0,0,0,0,1,,2,3,1,1,1,0,0,0,0,1,0,0,,2,1,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,61282,3,851.19,1,1,5/1/25 19:50,spanish,1.241723
